Ensembl_ID	Gene_Name	miRNA_ID	miRNA_Name	Score
ENSG00000173456	RNF26	MIMAT0000062	hsa-let-7a-5p	0.9967501163482666
ENSG00000088854	DNAAF9	MIMAT0000063	hsa-let-7b-5p	0.998013973236084
ENSG00000133740	E2F5	MIMAT0000063	hsa-let-7b-5p	0.9982860684394836
ENSG00000164118	CEP44	MIMAT0000063	hsa-let-7b-5p	0.999294638633728
ENSG00000148606	POLR3A	MIMAT0000063	hsa-let-7b-5p	0.9985080361366272
ENSG00000072958	AP1M1	MIMAT0000064	hsa-let-7c-5p	0.9960320591926576
ENSG00000158050	DUSP2	MIMAT0000064	hsa-let-7c-5p	0.9948315024375916
ENSG00000117400	MPL	MIMAT0000064	hsa-let-7c-5p	0.9990253448486328
ENSG00000085999	RAD54L	MIMAT0000065	hsa-let-7d-5p	0.996720850467682
ENSG00000105939	ZC3HAV1	MIMAT0000065	hsa-let-7d-5p	0.9966435432434082
ENSG00000105707	HPN	MIMAT0000065	hsa-let-7d-5p	0.9957032799720764
ENSG00000196517	SLC6A9	MIMAT0000066	hsa-let-7e-5p	0.9934630393981934
ENSG00000155876	RRAGA	MIMAT0000067	hsa-let-7f-5p	0.9972969889640808
ENSG00000160551	TAOK1	MIMAT0004584	hsa-let-7g-3p	0.9999531507492064
ENSG00000143033	MTF2	MIMAT0000414	hsa-let-7g-5p	0.9998490810394288
ENSG00000165458	INPPL1	MIMAT0000415	hsa-let-7i-5p	0.9997304081916808
ENSG00000105819	PMPCB	MIMAT0000415	hsa-let-7i-5p	0.9999353885650636
ENSG00000109436	TBC1D9	MIMAT0000415	hsa-let-7i-5p	0.9998654127120972
ENSG00000135002	RFK	MIMAT0000415	hsa-let-7i-5p	0.9998199343681335
ENSG00000084636	COL16A1	MIMAT0004512	hsa-miR-100-3p	0.996514618396759
ENSG00000157227	MMP14	MIMAT0004512	hsa-miR-100-3p	0.9953060746192932
ENSG00000174106	LEMD3	MIMAT0009196	hsa-miR-103a-2-5p	0.7975335717201233
ENSG00000010072	SPRTN	MIMAT0000101	hsa-miR-103a-3p	0.9996509552001952
ENSG00000171700	RGS19	MIMAT0000101	hsa-miR-103a-3p	0.9987813830375672
ENSG00000136450	SRSF1	MIMAT0000101	hsa-miR-103a-3p	0.9998076558113098
ENSG00000101266	CSNK2A1	MIMAT0000101	hsa-miR-103a-3p	0.9996895790100098
ENSG00000185591	SP1	MIMAT0000102	hsa-miR-105-5p	0.9911046624183656
ENSG00000106052	TAX1BP1	MIMAT0000680	hsa-miR-106b-5p	0.7638238072395325
ENSG00000136628	EPRS1	MIMAT0000680	hsa-miR-106b-5p	0.5514652132987976
ENSG00000175073	VCPIP1	MIMAT0000680	hsa-miR-106b-5p	0.8261839747428894
ENSG00000173960	UBXN2A	MIMAT0000680	hsa-miR-106b-5p	0.6811617612838745
ENSG00000181704	YIPF6	MIMAT0000104	hsa-miR-107	0.999744474887848
ENSG00000095951	HIVEP1	MIMAT0000104	hsa-miR-107	0.9995772242546082
ENSG00000130066	SAT1	MIMAT0000104	hsa-miR-107	0.9992885589599608
ENSG00000213585	VDAC1	MIMAT0000104	hsa-miR-107	0.9996321201324464
ENSG00000165244	ZNF367	MIMAT0000104	hsa-miR-107	0.9994612336158752
ENSG00000141682	PMAIP1	MIMAT0004555	hsa-miR-10a-3p	0.9992790818214417
ENSG00000152556	PFKM	MIMAT0000253	hsa-miR-10a-5p	0.7536223530769348
ENSG00000104419	NDRG1	MIMAT0000253	hsa-miR-10a-5p	0.5723890662193298
ENSG00000143878	RHOB	MIMAT0000253	hsa-miR-10a-5p	0.7146160006523132
ENSG00000165731	RET	MIMAT0000254	hsa-miR-10b-5p	0.5672345757484436
ENSG00000100815	TRIP11	MIMAT0005871	hsa-miR-1207-5p	0.9999961853027344
ENSG00000135111	TBX3	MIMAT0000421	hsa-miR-122-5p	0.9939314126968384
ENSG00000114120	SLC25A36	MIMAT0005577	hsa-miR-1226-3p	0.9999986886978148
ENSG00000096717	SIRT1	MIMAT0000422	hsa-miR-124-3p	0.7217564582824707
ENSG00000159388	BTG2	MIMAT0000422	hsa-miR-124-3p	0.8865904808044434
ENSG00000083937	CHMP2B	MIMAT0000422	hsa-miR-124-3p	0.961180865764618
ENSG00000100439	ABHD4	MIMAT0004602	hsa-miR-125a-3p	0.9999523162841796
ENSG00000106070	GRB10	MIMAT0000443	hsa-miR-125a-5p	0.9958037734031676
ENSG00000138071	ACTR2	MIMAT0000443	hsa-miR-125a-5p	0.9891414642333984
ENSG00000141503	MINK1	MIMAT0000443	hsa-miR-125a-5p	0.98610258102417
ENSG00000136997	MYC	MIMAT0000443	hsa-miR-125a-5p	0.9920946955680848
ENSG00000089041	P2RX7	MIMAT0000443	hsa-miR-125a-5p	0.99898761510849
ENSG00000186395	KRT10	MIMAT0000423	hsa-miR-125b-5p	0.9328152537345886
ENSG00000165156	ZHX1	MIMAT0000423	hsa-miR-125b-5p	0.9484426379203796
ENSG00000213281	NRAS	MIMAT0000423	hsa-miR-125b-5p	0.9937534928321838
ENSG00000130559	CAMSAP1	MIMAT0000444	hsa-miR-126-5p	0.6628117561340332
ENSG00000157625	TAB3	MIMAT0005914	hsa-miR-1262	0.999664068222046
ENSG00000114861	FOXP1	MIMAT0000446	hsa-miR-127-3p	0.998751163482666
