logFC	logCPM	F	PValue	FDR
ENSG00000231721	2.47778887460047	2.51124962672086	450.433791659051	7.82275924470163e-10	1.6071076592315e-05
ENSG00000243649	3.90187007296913	1.30320730610984	360.894999070809	2.43207817716414e-09	2.49823070358301e-05
ENSG00000266290	4.77813543928095	-1.86294048542266	87.6826133904055	9.39016252315174e-08	0.000557114884589291
ENSG00000182676	3.73694687677102	-1.76089671012923	116.196479188163	1.40829385965083e-07	0.000557114884589291
ENSG00000283078	1.46772120322823	1.58237615799474	153.915264972955	1.60975863895172e-07	0.000557114884589291
ENSG00000289883	4.62012937754325	-1.00168614337313	113.162498557383	1.62708786387059e-07	0.000557114884589291
ENSG00000136286	2.05439227640772	0.809741272303227	145.924217952552	2.08786147959044e-07	0.000611393000941663
ENSG00000130635	-1.13049858331885	4.3551639613311	140.143744978435	2.53158847103038e-07	0.000611393000941663
ENSG00000240790	3.96807885839367	-2.20926660861609	79.8616523767773	2.67841559991967e-07	0.000611393000941663
ENSG00000289593	4.15172217567056	-2.36644500130085	72.9680316432224	3.13428478212913e-07	0.000643907465640608
ENSG00000287193	3.10722656810234	-0.968408752701231	127.964626688882	4.15712736486175e-07	0.000752976860767843
ENSG00000138823	1.64457924739819	-0.124260151910221	125.081515401689	4.39822932691497e-07	0.000752976860767843
ENSG00000132561	-1.06123459548348	2.63439990529775	112.624299615962	7.21046947375486e-07	0.00113947603745246
ENSG00000041982	-0.920539582187656	4.25071710589187	106.101496515194	9.56560447623809e-07	0.00128931265068128
ENSG00000136383	1.81827031276278	2.30918568332382	105.927074672213	9.64271292019645e-07	0.00128931265068128
ENSG00000152661	-1.41663470345226	2.72124226241841	104.639215619291	1.02151165380296e-06	0.00128931265068128
ENSG00000197182	1.88205682714682	3.03589813441808	101.810153034926	1.162499482593e-06	0.00128931265068128
ENSG00000226853	1.89738695795705	0.2211994923709	101.691158371558	1.17360464713627e-06	0.00128931265068128
ENSG00000260997	3.35605618259295	-1.41624313315731	94.9311269377355	1.1924133743645e-06	0.00128931265068128
ENSG00000289103	2.55777926404838	-0.723304865608052	98.0856132828599	1.46724114903746e-06	0.00148489013268244
ENSG00000276216	2.75745144610972	-0.984141732892973	97.7828020622044	1.51784914263684e-06	0.00148489013268244
ENSG00000147485	0.92354397763973	2.19985494991817	91.4652512937549	1.92161959014049e-06	0.00175378507696751
ENSG00000276255	3.32455729523901	-0.79593574821581	91.6238192581951	2.00076333645613e-06	0.00175378507696751
ENSG00000167767	1.02910303344556	2.15211775633971	90.2174268655685	2.04881434225176e-06	0.00175378507696751
ENSG00000168542	-0.899827983578914	6.20563409047997	87.1060557971547	2.41184508990535e-06	0.00191157089417487
ENSG00000279205	1.5692082255586	0.354954012843558	87.0907494124221	2.41923886529141e-06	0.00191157089417487
ENSG00000117616	-0.607417782967376	5.65470675366147	84.7095044340526	2.74515050091899e-06	0.00204856176750672
ENSG00000275765	1.76356181565071	0.19229834145108	84.3611861254391	2.80750457420052e-06	0.00204856176750672
ENSG00000224046	1.26765137421988	0.824067924013002	83.7800685332853	2.8917587255498e-06	0.00204856176750672
ENSG00000276131	1.53281113212003	0.275890177398512	81.7814309988291	3.23781006919063e-06	0.00220145177391444
ENSG00000236617	2.09605787399377	-0.295580572234722	81.4995794719199	3.32189471336388e-06	0.00220145177391444
ENSG00000103888	-1.53279617546453	1.2195939057828	80.4541262735556	3.4858166512731e-06	0.00220277691463148
ENSG00000128849	-0.911171974300024	1.9189472090427	80.1857819735654	3.53833908600267e-06	0.00220277691463148
ENSG00000137801	-0.989132678816905	4.75581868916101	78.307584805782	3.94522399846782e-06	0.0023125752686718
ENSG00000250138	-1.37134753805816	0.206015406830204	77.8723498857886	4.05624967838117e-06	0.0023125752686718
ENSG00000272143	1.08973897886126	2.59347299424985	77.3670981302842	4.17085245881692e-06	0.0023125752686718
ENSG00000272426	3.34306973892292	-1.33154475893764	74.0851491686215	4.22824095559651e-06	0.0023125752686718
ENSG00000289532	1.65506610417566	0.722274689901363	76.6164531475449	4.36710894741516e-06	0.0023125752686718
ENSG00000272686	0.864722581188514	4.26502847192482	76.5060226908907	4.39011076120522e-06	0.0023125752686718
ENSG00000025039	0.719927738357054	3.96766290378452	75.6291978171888	4.62822429992779e-06	0.00237705600044291
ENSG00000269343	-0.591344482765906	4.00959039017414	74.8764491538677	4.8450272175381e-06	0.00240065589668087
ENSG00000162407	-0.525384689528842	6.18880447234373	74.6656370979212	4.90788296634524e-06	0.00240065589668087
ENSG00000153363	0.667096815805322	4.12101691800599	72.0998555756139	5.75709825037469e-06	0.00274980239301022
ENSG00000237370	1.71569889912983	0.793727901899712	71.6249044483887	5.94048960812156e-06	0.00274980239301022
ENSG00000232818	0.668792335461642	3.58458123990463	71.1784395309431	6.1042161128075e-06	0.00274980239301022
ENSG00000261693	1.61151699097553	0.153654577401326	70.8893738508169	6.2355783888193e-06	0.00274980239301022
ENSG00000279199	1.71755743603007	-0.492984199788954	70.7213355084002	6.34597446015665e-06	0.00274980239301022
ENSG00000066468	-1.17503949302595	1.15858801180079	70.3893678833984	6.42477194628556e-06	0.00274980239301022
ENSG00000196358	0.582619263925698	6.92249232129092	69.3282228166692	6.87970525258905e-06	0.00288255613565387
ENSG00000241764	0.996488265536309	2.49172464305843	69.0314842439901	7.01556691893953e-06	0.00288255613565387
ENSG00000111859	-0.841627008531962	3.39097093505209	68.7078937238759	7.16588750549182e-06	0.00288658809632988
